,grid_num,lon,lat,total
0,221,103.51859199,30.180001249999997,1
1,420,103.50528316999998,30.19832625,2
2,422,103.53190081,30.19832625,1
3,1366,104.11748889,30.28078875,1
4,1659,104.02432715,30.30827625,4
5,1668,104.14410652999999,30.30827625,1
6,1755,103.97109187,30.31743875,42
7,1759,104.02432715,30.31743875,1
8,1854,103.95778304999999,30.32660125,3
9,1855,103.97109187,30.32660125,13
10,1860,104.03763597,30.32660125,1
11,1954,103.95778304999999,30.335763749999998,3
12,1960,104.03763597,30.335763749999998,1
13,1968,104.14410652999999,30.335763749999998,1
14,2053,103.94447423,30.34492625,1
15,2168,104.14410652999999,30.35408875,1
16,2249,103.89123895,30.363251249999998,2
17,2251,103.91785658999999,30.363251249999998,1
18,2268,104.14410652999999,30.363251249999998,1
19,2344,103.82469484999999,30.37241375,1
20,2345,103.83800367,30.37241375,6
21,2350,103.90454777,30.37241375,1
22,2354,103.95778304999999,30.37241375,3
23,2355,103.97109187,30.37241375,2
24,2361,104.05094478999999,30.37241375,11
25,2417,103.46535671,30.381576250000002,1
26,2447,103.86462130999999,30.381576250000002,1
27,2449,103.89123895,30.381576250000002,2
28,2451,103.91785658999999,30.381576250000002,1
29,2470,104.17072417,30.381576250000002,2
30,2517,103.46535671,30.390738749999997,1
31,2542,103.79807721,30.390738749999997,3
32,2545,103.83800367,30.390738749999997,2
33,2563,104.07756243,30.390738749999997,1
34,2564,104.09087124999999,30.390738749999997,1
35,2568,104.14410652999999,30.390738749999997,1
36,2599,104.55667994999999,30.390738749999997,3
37,2616,103.45204788999999,30.39990125,2
38,2617,103.46535671,30.39990125,3
39,2618,103.47866553,30.39990125,1
40,2619,103.49197434999999,30.39990125,1
41,2635,103.70491547,30.39990125,4
42,2639,103.75815075,30.39990125,1
43,2642,103.79807721,30.39990125,2
44,2650,103.90454777,30.39990125,2
45,2655,103.97109187,30.39990125,1
46,2656,103.98440069,30.39990125,4
47,2663,104.07756243,30.39990125,8
48,2668,104.14410652999999,30.39990125,2
49,2715,103.43873907,30.40906375,1
50,2717,103.46535671,30.40906375,3
51,2718,103.47866553,30.40906375,1
52,2741,103.78476839,30.40906375,4
53,2742,103.79807721,30.40906375,13
54,2743,103.81138603,30.40906375,27
55,2744,103.82469484999999,30.40906375,2
56,2749,103.89123895,30.40906375,1
57,2750,103.90454777,30.40906375,3
58,2756,103.98440069,30.40906375,20
59,2757,103.99770950999999,30.40906375,1
60,2765,104.10418007,30.40906375,3
61,2768,104.14410652999999,30.40906375,3
62,2798,104.54337113,30.40906375,1
63,2817,103.46535671,30.41822625,2
64,2818,103.47866553,30.41822625,2
65,2837,103.73153310999999,30.41822625,2
66,2842,103.79807721,30.41822625,4
67,2843,103.81138603,30.41822625,20
68,2844,103.82469484999999,30.41822625,21
69,2845,103.83800367,30.41822625,7
70,2856,103.98440069,30.41822625,1
71,2861,104.05094478999999,30.41822625,1
72,2863,104.07756243,30.41822625,2
73,2865,104.10418007,30.41822625,18
74,2866,104.11748889,30.41822625,3
75,2942,103.79807721,30.42738875,5
76,2943,103.81138603,30.42738875,23
77,2946,103.85131249,30.42738875,1
78,2956,103.98440069,30.42738875,2
79,2957,103.99770950999999,30.42738875,11
80,2958,104.01101832999998,30.42738875,3
81,2961,104.05094478999999,30.42738875,8
82,2963,104.07756243,30.42738875,2
83,2965,104.10418007,30.42738875,2
84,2966,104.11748889,30.42738875,1
85,2972,104.19734181,30.42738875,2
86,2973,104.21065063,30.42738875,1
87,3041,103.78476839,30.43655125,4
88,3043,103.81138603,30.43655125,9
89,3046,103.85131249,30.43655125,2
90,3056,103.98440069,30.43655125,2
91,3057,103.99770950999999,30.43655125,1
92,3060,104.03763597,30.43655125,21
93,3061,104.05094478999999,30.43655125,16
94,3062,104.06425361,30.43655125,2
95,3063,104.07756243,30.43655125,1
96,3065,104.10418007,30.43655125,2
97,3071,104.18403298999999,30.43655125,1
98,3072,104.19734181,30.43655125,4
99,3136,103.71822429,30.44571375,1
100,3142,103.79807721,30.44571375,1
101,3146,103.85131249,30.44571375,4
102,3147,103.86462130999999,30.44571375,2
103,3156,103.98440069,30.44571375,1
104,3158,104.01101832999998,30.44571375,3
105,3159,104.02432715,30.44571375,1
106,3160,104.03763597,30.44571375,4
107,3161,104.05094478999999,30.44571375,23
108,3162,104.06425361,30.44571375,2
109,3163,104.07756243,30.44571375,10
110,3171,104.18403298999999,30.44571375,2
111,3241,103.78476839,30.454876249999998,1
112,3247,103.86462130999999,30.454876249999998,1
113,3256,103.98440069,30.454876249999998,10
114,3257,103.99770950999999,30.454876249999998,2
115,3258,104.01101832999998,30.454876249999998,2
116,3261,104.05094478999999,30.454876249999998,4
117,3264,104.09087124999999,30.454876249999998,1
118,3269,104.15741535,30.454876249999998,1
119,3270,104.17072417,30.454876249999998,1
120,3271,104.18403298999999,30.454876249999998,1
121,3347,103.86462130999999,30.46403875,3
122,3348,103.87793013,30.46403875,5
123,3355,103.97109187,30.46403875,3
124,3357,103.99770950999999,30.46403875,9
125,3358,104.01101832999998,30.46403875,4
126,3359,104.02432715,30.46403875,5
127,3360,104.03763597,30.46403875,2
128,3361,104.05094478999999,30.46403875,1
129,3362,104.06425361,30.46403875,16
130,3363,104.07756243,30.46403875,6
131,3364,104.09087124999999,30.46403875,22
132,3365,104.10418007,30.46403875,9
133,3369,104.15741535,30.46403875,6
134,3447,103.86462130999999,30.47320125,2
